t,success,mid,pmt,pg,sub_type,hr,bank,time
2,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 01,AIRTELMONEY,2020021401
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 01,IDFC Bank,2020021401
1,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_BOBCORP,2020021405
1,1,zivame,CARD,HDFC,,2020-02-14 05,Punjab and Sind Bank,2020021405
1,0,zivame,NB,PAYU,,2020-02-14 07,NB_ANDHRA,2020021407
3,1,zivame,CARD,PAYU,,2020-02-14 09,The Catholic Syrian Bank,2020021409
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_OBC,2020021409
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 04,Tamilnad Mercantile Bank,2020021404
1,0,urbanclap,NB,PAYTM,,2020-02-14 14,NB_FED,2020021414
1,1,zivame,CARD,HDFC,,2020-02-14 13,Karur Vysya Bank,2020021413
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 17,Punjab and Sind Bank,2020021417
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 16,BARODA UTTAR PRADESH GRAMIN BANK,2020021416
3,1,countrydelight,NB,PAYU,,2020-02-14 17,NB_DEUT,2020021417
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,ASSAM COOPERATIVE APEX BANK LTD,2020021415
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE SURAT PEOPLES COOPERATIVE BANK LTD,2020021415
1,0,pharmeasytech,NB,PAYU,,2020-02-14 15,NB_IOB,2020021415
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 13,PAYZAPP,2020021413
1,1,zivame,NB,PAYU,,2020-02-14 13,NB_AIRTEL,2020021413
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,South Indian Bank,2020021413
1,1,urbanclap,NB,PAYU,,2020-02-14 12,NB_AIRTEL,2020021412
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_CORP,2020021414
2,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 18,PAYZAPP,2020021418
5,2,countrydelight,NB,PAYU,,2020-02-12 06,NB_AIRTEL,2020021206
3,0,fanfight,CARD,GOCASHFREE,,2020-02-12 13,IDFC Bank,2020021213
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 00,NB_SOIB,2020021200
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 09,NB_ALLB,2020021209
3,1,urbanclap,NB,PAYTM,,2020-02-12 09,NB_IDFC,2020021209
2,0,drivezy,NB,GOCASHFREE,,2020-02-12 09,NB_VJYB,2020021209
1,1,countrydelight,CARD,PAYU,,2020-02-12 06,Abhyudaya Cooperative Bank,2020021206
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 12,MONEYACCESSSERVICE.INC.,2020021212
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 07,JIOMONEY,2020021207
1,1,urbanclap,CARD,PAYTM,,2020-02-12 05,Kotak Bank,2020021205
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_CORP,2020021207
3,1,drivezy,CARD,GOCASHFREE,,2020-02-12 02,Kotak Bank,2020021202
1,0,purplle.com,NB,PAYTM,,2020-02-12 06,NB_ALLB,2020021206
1,1,urbanclap,NB,PAYTM,,2020-02-12 05,NB_CSB,2020021205
1,1,pharmeasytech,NB,PAYU,,2020-02-12 11,NB_IOB,2020021211
2,1,drivezy,CARD,GOCASHFREE,,2020-02-12 07,City Union Bank,2020021207
1,0,countrydelight,NB,PAYU,,2020-02-12 06,NB_ANDHRA,2020021206
1,0,medlife_prod,CARD,TPSL,,2020-02-12 03,The Shamrao Vithal Cooperative Bank,2020021203
1,1,countrydelight,NB,PAYU,,2020-02-12 05,NB_IDFC,2020021205
3,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-12 11,EPAYLATER,2020021211
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 02,Karur Vysya Bank,2020021202
1,0,countrydelight,NB,PAYU,,2020-02-12 18,NB_AIRTEL,2020021218
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 14,Punjab and Sind Bank,2020021214
8,0,fanfight,NB,RAZORPAY,,2020-02-12 13,NB_CBI,2020021213
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 14,South Indian Bank,2020021214
4,1,fanfight,NB,RAZORPAY,,2020-02-12 14,NB_SYNB,2020021214
2,1,urbanclap,CARD,PAYTM,,2020-02-12 16,Kotak Bank,2020021216
7,0,fanfight,NB,RAZORPAY,,2020-02-12 15,NB_PNBCORP,2020021215
3,2,pharmeasytech,CARD,PAYU,,2020-02-12 13,IDFC Bank,2020021213
4,4,fanfight,CARD,RAZORPAY,,2020-02-12 15,Mudra Bank,2020021215
2,0,zivame,CARD,HDFC,,2020-02-14 05,Mudra Bank,2020021405
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 04,South Indian Bank,2020021404
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 10,EPAYLATER,2020021410
1,0,purplle.com,NB,PAYTM,,2020-02-14 03,NB_ALLB,2020021403
2,1,urbanclap,NB,PAYTM,,2020-02-14 06,NB_IOB,2020021406
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 11,NB_VJYB,2020021411
3,1,zivame,CARD,PAYU,,2020-02-14 06,Abhyudaya Cooperative Bank,2020021406
1,1,purplle.com,CARD,PAYTM,,2020-02-14 12,South Indian Bank,2020021412
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 06,South Indian Bank,2020021406
4,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 08,AIRTELMONEY,2020021408
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 09,Saraswat Bank,2020021409
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,The Bharat Cooperative Bank,2020021412
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 10,Tamilnad Mercantile Bank,2020021410
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 11,SOUTHCAROLINAF.C.U.,2020021411
1,0,fanfight,NB,RAZORPAY,,2020-02-14 06,NB_PNJSB,2020021406
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 03,DCB,2020021403
2,0,drivezy,CARD,GOCASHFREE,,2020-02-14 03,BCCARDCO..LTD.,2020021403
1,0,urbanclap,CARD,PAYTM,,2020-02-14 04,BANCAMORA.S.A.,2020021404
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Mudra Bank,2020021405
1,0,fanfight,NB,RAZORPAY,,2020-02-14 12,NB_SBM,2020021412
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,Barclays Bank,2020021409
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_JSB,2020021410
1,1,zivame,NB,PAYU,,2020-02-14 01,NB_VJYB,2020021401
4,0,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_SYNB,2020021409
1,0,urbanclap,NB,PAYTM,,2020-02-14 08,NB_ANDHRA,2020021408
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 20,NB_SOIB,2020021420
1,1,pharmeasytech,NB,PAYU,,2020-02-14 06,NB_DCB,2020021406
1,0,pharmeasytech,NB,PAYTM,,2020-02-14 16,NB_IOB,2020021416
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_OBC,2020021416
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_SCB,2020021417
1,1,zivame,CARD,HDFC,,2020-02-14 14,Tamilnad Mercantile Bank,2020021414
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 14,Bandhan Bank,2020021414
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 13,BARODA UTTAR PRADESH GRAMIN BANK,2020021413
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Bandhan Bank,2020021415
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,J AND K GRAMEEN BANK,2020021415
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-14 15,NB_ALLB,2020021415
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 17,Karur Vysya Bank,2020021417
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR,2020021415
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_VJYB,2020021410
1,1,urbanclap,CARD,PAYTM,,2020-02-14 11,Deutsche Bank,2020021411
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,SOUTHCAROLINAF.C.U.,2020021413
2,1,purplle.com,CARD,PAYTM,,2020-02-14 12,City Union Bank,2020021412
1,1,pharmeasytech,NB,PAYU,,2020-02-14 01,NB_UNIB,2020021401
1,1,zivame,NB,PAYU,,2020-02-14 11,NB_CITI,2020021411
3,0,urbanclap,NB,PAYTM,,2020-02-14 07,NB_DEUT,2020021407
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 06,Lakshmi Vilas Bank,2020021406
1,1,urbanclap,NB,PAYTM,,2020-02-14 09,NB_OBC,2020021409
2,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_KARN,2020021410
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 05,NB_SCB,2020021405
4,0,urbanclap,NB,PAYTM,,2020-02-14 00,NB_CUB,2020021400
1,0,purplle.com,CONSUMER_FINANCE,PAYU,,2020-02-14 13,ZESTMONEY,2020021413
2,0,purplle.com,NB,PAYU,,2020-02-14 06,NB_SOIB,2020021406
2,1,urbanclap,NB,PAYTM,,2020-02-14 08,NB_INDUS,2020021408
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,GP Parsik Bank,2020021412
1,0,pharmeasytech,NB,PAYU,,2020-02-14 03,NB_CORP,2020021403
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 07,South Indian Bank,2020021407
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 03,PAYZAPP,2020021403
1,0,urbanclap,NB,PAYU,,2020-02-14 05,NB_PNBCORP,2020021405
1,0,fanfight,CARD,RAZORPAY,,2020-02-14 14,COMMUNITYBANK,2020021414
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 04,NB_CORP,2020021404
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 15,NB_BOM,2020021415
1,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 16,EPAYLATER,2020021416
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 16,Bandhan Bank,2020021416
4,4,fanfight,NB,PAYTM,,2020-02-14 15,NB_IDFC,2020021415
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_INDB,2020021414
1,0,purplle.com,CARD,PAYTM,,2020-02-14 16,THE DISTRICT CO OP BANK LTD DEHRADUN,2020021416
2,0,zivame,NB,PAYU,,2020-02-14 19,NB_KVB,2020021419
1,0,drivezy,CARD,GOCASHFREE,,2020-02-14 20,South Indian Bank,2020021420
3,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,SHIVAJI NAGARI SAHAKARI BANK LTD,2020021415
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_OBC,2020021415
1,0,purplle.com,NB,PAYU,,2020-02-14 15,NB_PNJSB,2020021415
1,1,purplle.com,CARD,PAYTM,,2020-02-14 14,CHHATTISGARH RAJYA GRAMIN BANK,2020021414
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_PNBCORP,2020021417
2,0,fanfight,NB,RAZORPAY,,2020-02-14 02,NB_BOM,2020021402
1,1,medlife_prod,CARD,TPSL,,2020-02-14 11,BCCARDCO..LTD.,2020021411
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_SARASB,2020021404
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Deutsche Bank,2020021405
2,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_OBC,2020021405
1,0,urbanclap,CARD,PAYTM,,2020-02-14 05,Chase Bank,2020021405
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_JNK,2020021409
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 06,THE BAGHAT URBAN COOP BANK LTD,2020021406
1,0,countrydelight,NB,PAYU,,2020-02-14 05,NB_SYNB,2020021405
1,1,urbanclap,CARD,PAYTM,,2020-02-14 09,South Indian Bank,2020021409
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,UTTARAKHAND GRAMIN BANK,2020021407
1,1,zivame,CARD,PAYU,,2020-02-14 11,ODISHA GRAMYA BANK,2020021411
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,Bassein Catholic Bank,2020021408
1,1,purplle.com,CARD,PAYTM,,2020-02-14 11,South Indian Bank,2020021411
3,0,medlife_prod,CARD,TPSL,,2020-02-14 08,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD AS I,2020021408
1,0,countrydelight,CARD,PAYU,,2020-02-14 06,SOUTHCAROLINAF.C.U.,2020021406
2,1,purplle.com,CARD,PAYTM,,2020-02-14 20,Mudra Bank,2020021420
1,0,fanfight,NB,RAZORPAY,,2020-02-14 16,NB_UCOB,2020021416
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,United Bank of India,2020021415
2,2,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Karur Vysya Bank,2020021415
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 18,Karur Vysya Bank,2020021418
1,0,countrydelight,NB,PAYTM,,2020-02-14 13,NB_DBS,2020021413
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 19,Saraswat Bank,2020021419
1,0,zivame,CARD,HDFC,,2020-02-14 14,Karur Vysya Bank,2020021414
2,1,purplle.com,CARD,PAYTM,,2020-02-14 15,THE PALAKKAD DISTRICT COOPERATIVE BANK LTD,2020021415
1,1,pharmeasytech,NB,PAYU,,2020-02-14 18,NB_FED,2020021418
1,0,urbanclap,CARD,PAYTM,,2020-02-14 18,ADCB,2020021418
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 14,PAYZAPP,2020021414
1,1,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_ANDHRA,2020021301
2,0,countrydelight,NB,PAYU,,2020-02-13 00,NB_AIRTEL,2020021300
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-13 12,NB_ALLB,2020021312
1,0,drivezy,NB,GOCASHFREE,,2020-02-13 04,NB_UNIB,2020021304
1,1,countrydelight,CARD,PAYU,,2020-02-13 00,THANE JANATA SAHAKARI BANK LTD,2020021300
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 08,IDFC Bank,2020021308
1,1,zivame,CARD,PAYU,,2020-02-13 13,THE NAINITAL BANK LTD,2020021313
3,3,pharmeasytech,CARD,PAYU,,2020-02-13 04,Abhyudaya Cooperative Bank,2020021304
1,1,zivame,CARD,PAYU,,2020-02-13 08,Bandhan Bank,2020021308
3,0,purplle.com,WALLET,,,2020-02-13 08,UNDEFINED,2020021308
1,1,urbanclap,NB,PAYTM,,2020-02-13 05,NB_INDB,2020021305
1,0,pharmeasytech,CARD,PAYU,,2020-02-13 09,POCAVALLEYBANK.INC.,2020021309
2,0,fanfight,NB,PAYTM,,2020-02-13 00,NB_IDFC,2020021300
1,1,urbanclap,CARD,PAYTM,,2020-02-13 01,BCCARDCO..LTD.,2020021301
1,0,fanfight,NB,RAZORPAY,,2020-02-13 03,NB_OBC,2020021303
1,0,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_BOBCORP,2020021301
2,0,drivezy,NB,GOCASHFREE,,2020-02-13 10,NB_BOM,2020021310
5,1,drivezy,CARD,GOCASHFREE,,2020-02-13 05,Kotak Bank,2020021305
3,2,fanfight,CARD,GOCASHFREE,,2020-02-13 13,SHIVAJI NAGARI SAHAKARI BANK LTD,2020021313
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 13,THE KODAGU DISTRICT COOP CENTRAL BANK LTD,2020021313
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 05,PAYZAPP,2020021305
2,2,urbanclap,NB,PAYTM,,2020-02-13 09,NB_INDB,2020021309
1,0,fanfight,NB,RAZORPAY,,2020-02-13 10,NB_DENA,2020021310
2,0,countrydelight,CARD,PAYU,,2020-02-13 16,MONEYACCESSSERVICE.INC.,2020021316
2,1,urbanclap,NB,PAYTM,,2020-02-13 14,NB_RBL,2020021314
2,0,countrydelight,CARD,PAYU,,2020-02-13 17,MONEYACCESSSERVICE.INC.,2020021317
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 16,NB_BOBCORP,2020021316
3,2,purplle.com,CARD,PAYTM,,2020-02-13 18,Punjab and Sind Bank,2020021318
1,0,pharmeasytech,NB,PAYU,,2020-02-13 15,NB_INDUS,2020021315
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 17,NB_UCOB,2020021317
1,0,fanfight,NB,RAZORPAY,,2020-02-13 15,NB_SBP,2020021315
1,0,zivame,NB,PAYU,,2020-02-13 19,NB_INDB,2020021319
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_KARN,2020021404
1,0,countrydelight,NB,PAYU,,2020-02-14 07,NB_IOB,2020021407
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_SARASB,2020021410
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 10,MONEYACCESSSERVICE.INC.,2020021410
2,2,purplle.com,CARD,PAYTM,,2020-02-14 06,SOUTHCAROLINAF.C.U.,2020021406
1,1,purplle.com,NB,PAYU,,2020-02-14 11,NB_INDB,2020021411
2,1,countrydelight,NB,PAYU,,2020-02-14 05,NB_CITI,2020021405
6,3,medlife_prod,CARD,TPSL,,2020-02-14 07,South Indian Bank,2020021407
1,0,pharmeasytech,NB,RAZORPAY,,2020-02-14 07,NB_SCB,2020021407
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,THE GREATER BOMBAY COOP BANK LTD,2020021404
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,MONEYACCESSSERVICE.INC.,2020021404
1,0,fanfight,NB,RAZORPAY,,2020-02-14 08,NB_ALLB,2020021408
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_SYNB,2020021404
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 06,NB_ANDHRA,2020021406
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_PNBCORP,2020021415
1,1,zivame,CARD,PAYU,,2020-02-14 14,Bandhan Bank,2020021414
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_FED,2020021416
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 14,NB_SCB,2020021414
2,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_ALLB,2020021415
1,1,purplle.com,CARD,PAYTM,,2020-02-14 15,South Indian Bank,2020021415
1,0,purplle.com,NB,PAYU,,2020-02-14 18,NB_PNJSB,2020021418
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 16,THE ADARSH COOP URBAN BANK LTD,2020021416
4,0,fanfight,NB,RAZORPAY,,2020-02-12 07,NB_ALLB,2020021207
1,1,fanfight,CARD,GOCASHFREE,,2020-02-12 02,ANDHRA PRADESH GRAMEENA VIKAS BANK,2020021202
3,0,fanfight,NB,RAZORPAY,,2020-02-12 03,NB_CBI,2020021203
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_OBC,2020021207
2,2,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_IOB,2020021206
1,0,pharmeasytech,NB,PAYTM,,2020-02-12 06,NB_CBI,2020021206
1,1,purplle.com,CARD,PAYTM,,2020-02-12 06,Punjab and Sind Bank,2020021206
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_KVB,2020021206
1,1,fanfight,NB,PAYTM,,2020-02-12 03,NB_IDFC,2020021203
1,1,pharmeasytech,CARD,PAYU,,2020-02-12 03,SOUTHCAROLINAF.C.U.,2020021203
2,0,fanfight,NB,RAZORPAY,,2020-02-12 01,NB_UNIB,2020021201
1,0,purplle.com,NB,PAYTM,,2020-02-12 04,NB_BHARAT,2020021204
3,3,medlife_prod,NB,RAZORPAY,,2020-02-12 12,NB_SCB,2020021212
2,0,urbanclap,NB,PAYTM,,2020-02-12 07,NB_FED,2020021207
2,0,urbanclap,NB,PAYTM,,2020-02-12 12,NB_IDFC,2020021212
1,1,countrydelight,CARD,PAYU,,2020-02-12 06,DCB,2020021206
1,1,medlife_prod,CARD,TPSL,,2020-02-12 10,ZILA SAHKARI BANK LTD MEERUT,2020021210
1,0,countrydelight,CARD,PAYU,,2020-02-12 10,IDFC Bank,2020021210
1,1,urbanclap,CARD,PAYTM,,2020-02-12 11,SOUTHCAROLINAF.C.U.,2020021211
2,1,pharmeasytech,NB,PAYU,,2020-02-12 13,NB_INDB,2020021213
1,0,urbanclap,CARD,PAYTM,,2020-02-12 03,Chase Bank,2020021203
1,0,urbanclap,NB,PAYTM,,2020-02-12 05,NB_INDB,2020021205
2,0,medlife_prod,NB,RAZORPAY,,2020-02-12 02,NB_INDB,2020021202
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 05,NB_ANDHRA,2020021205
1,1,medlife_prod,CARD,TPSL,,2020-02-12 08,MONEYACCESSSERVICE.INC.,2020021208
2,0,purplle.com,NB,PAYU,,2020-02-12 10,NB_KARN,2020021210
1,1,zivame,CARD,PAYU,,2020-02-12 15,Tamilnad Mercantile Bank,2020021215
1,0,drivezy,NB,GOCASHFREE,,2020-02-12 16,NB_FED,2020021216
1,1,urbanclap,CARD,PAYTM,,2020-02-12 16,South Indian Bank,2020021216
